"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACS COMBINATORIAL SCIENCE","2156-8952","2156-8944","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English",""
"ACS MACRO LETTERS","2161-1653","2161-1653","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English",""
"ACS MEDICINAL CHEMISTRY LETTERS","1948-5875","1948-5875","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English",""
"ACTA CHIMICA SINICA","0567-7351","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","Chinese",""
"ADVANCED SYNTHESIS & CATALYSIS","1615-4150","1615-4169","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English",""
"AFINIDAD","0001-9704","2339-9686","ASOC QUIMICOS","INST QUIMICO SARRIA, VIA AUGUSTA, 390, BARCELONA, SPAIN, 08017","Multi-Language",""
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","1433-7851","1521-3773","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English",""
"APPLIED CATALYSIS A-GENERAL","0926-860X","1873-3875","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English",""
"APPLIED ORGANOMETALLIC CHEMISTRY","0268-2605","1099-0739","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English",""
"ARCHIV DER PHARMAZIE","0365-6233","1521-4184","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English",""
"ASIAN JOURNAL OF ORGANIC CHEMISTRY","2193-5807","2193-5815","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English",""
"AUSTRALIAN JOURNAL OF CHEMISTRY","0004-9425","1445-0038","CSIRO PUBLISHING","UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, AUSTRALIA, VIC, 3168","English",""
