Title,Title20,Country/Region,SCIE,SSCI
2D MATERIALS,2D MATER,ENGLAND,Yes,
3 BIOTECH,3 BIOTECH,GERMANY,Yes,
3D PRINTING AND ADDITIVE MANUFACTURING,3D PRINT ADDIT MANUF,UNITED STATES,Yes,
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,4OR-Q J OPER RES,GERMANY,Yes,
AAPG BULLETIN,AAPG BULL,UNITED STATES,Yes,
AAPS JOURNAL,AAPS J,UNITED STATES,Yes,
AAPS PHARMSCITECH,AAPS PHARMSCITECH,UNITED STATES,Yes,
AATCC JOURNAL OF RESEARCH,AATCC J RES,UNITED STATES,Yes,
AATCC REVIEW,AATCC REV,UNITED STATES,Yes,
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,ABACUS,AUSTRALIA,,Yes
ABDOMINAL RADIOLOGY,ABDOM RADIOL,UNITED STATES,Yes,
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,GERMANY,Yes,
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,ACAD-REV LATINOAM AD,COLOMBIA,,Yes
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,UNITED STATES,Yes,
ACADEMIC MEDICINE,ACAD MED,UNITED STATES,Yes,
ACADEMIC PEDIATRICS,ACAD PEDIATR,UNITED STATES,Yes,
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,UNITED STATES,,Yes
ACADEMIC RADIOLOGY,ACAD RADIOL,UNITED STATES,Yes,
ACADEMY OF MANAGEMENT ANNALS,ACAD MANAG ANN,UNITED STATES,,Yes
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,UNITED STATES,,Yes
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,ACAD MANAG LEARN EDU,UNITED STATES,,Yes
ACADEMY OF MANAGEMENT PERSPECTIVES,ACAD MANAGE PERSPECT,UNITED STATES,,Yes
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,UNITED STATES,,Yes
ACAROLOGIA,ACAROLOGIA,FRANCE,Yes,
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,ENGLAND,,Yes
ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE,ACCOUNT RES,UNITED STATES,Yes,
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,ENGLAND,,Yes
ACCOUNTING AND FINANCE,ACCOUNT FINANC,AUSTRALIA,,Yes
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,ACCOUNT AUDIT ACCOUN,ENGLAND,,Yes
ACCOUNTING FORUM,ACCOUNT FORUM,ENGLAND,,Yes
ACCOUNTING HORIZONS,ACCOUNT HORIZ,UNITED STATES,,Yes
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,ENGLAND,,Yes
ACCOUNTING REVIEW,ACCOUNT REV,UNITED STATES,,Yes
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,UNITED STATES,Yes,
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,GERMANY,Yes,
ACI MATERIALS JOURNAL,ACI MATER J,UNITED STATES,Yes,
