"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"3 BIOTECH","2190-572X","2190-5738","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Biotechnology & Applied Microbiology"
"AAAS ANNUAL MEETING AND SCIENCE INNOVATION EXPOSITION","","","AMER ASSOC ADVANCEMENT SCIENCE","1200 NEW YORK AVE, NW, WASHINGTON, USA, DC, 20005","","Multidisciplinary Sciences"
"AAPS JOURNAL","1550-7416","1550-7416","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Pharmacology & Pharmacy"
"ABC TAXA","1784-1291","1784-1283","ROYAL BELGIAN INST NATURAL SCI","BELGIAN FOCAL POINT GLOBAL TAXONOMY INITIATIVE, VAUTIERSTRAAT 29, BRUSSELS, BELGIUM, B-1000","","Biology"
"ABDOMINAL RADIOLOGY","2366-004X","2366-0058","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Radiology, Nuclear Medicine & Medical Imaging"
"ABHANDLUNGEN DER SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG","1868-0356","1868-0356","E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG","NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176","","Multidisciplinary Sciences"
"ABHANDLUNGEN NATURWISSENSCHAFTLICHEN VEREIN ZU BREMEN","0340-3718","","NATURWISSENSCHAFTLICHER VEREIN ZU BREMEN","UEBERSEE-MUSEUM, BAHNHOFSPLATZ 13, BREMEN, GERMANY,","","Multidisciplinary Sciences"
"ABHANDLUNG NATURHISTORISCHE GESELLSCHAFT NUERNBERG","0077-6149","","NATURHISTORISCHE GESELLSCHAFT NUERNBERG E  V","MARIENTORGRABEN 8, NUREMBERG, GERMANY, 90402","","Multidisciplinary Sciences"
"ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","0065-7727","","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Chemistry, Multidisciplinary"
"ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY","1060-2011","","AMER SOC MICROBIOLOGY","1752 N ST NW, WASHINGTON, USA, DC, 20036-2904","","Microbiology"
"ABSTRACTS OF THE INTERSCIENCE CONFERENCE ON ANTIMICROBIAL AGENTS AND CHEMOTHERAPY","0733-6373","","AMER SOC MICROBIOLOGY","1752 N ST NW, WASHINGTON, USA, DC, 20036-2904","","Oncology"
"ACARINA","0132-8077","2221-5115","KMK SCIENTIFIC PRESS LTD, MOSCOW STATE UNIV","ZOOLOGICAL MUSEUM, BOLSHAYA NIKITSKAYA STREET 6, MOSCOW, RUSSIA, 00000","","Entomology"
"ACAROLOGIA","0044-586X","2107-7207","ACAROLOGIA-UNIVERSITE PAUL VALERY","SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090","Multi-Language","Entomology"
"ACCIDENT ANALYSIS AND PREVENTION","0001-4575","1879-2057","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Transportation | Social Sciences, Interdisciplinary | Public, Environmental & Occupational Health | Ergonomics"
"ACROCEPHALUS","0351-2851","0351-2851","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English, Slovenian","Ornithology"
"ACS-AGRICULTURAE CONSPECTUS SCIENTIFICUS","1331-7768","1331-7776","AGRONOMSKI FAKULTET, SVEUCILISTA U ZAGREBU","SVETOSIMUNSKA 25, ZAGREB, CROATIA, HR-10000","","Agriculture, Multidisciplinary"
"ACS APPLIED BIO MATERIALS","2576-6422","2576-6422","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science, Biomaterials | Nanoscience & Nanotechnology"
"ACS BIOMATERIALS SCIENCE & ENGINEERING","2373-9878","2373-9878","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science, Biomaterials"
"ACS CHEMICAL BIOLOGY","1554-8929","1554-8937","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Biochemistry & Molecular Biology"
"ACS CHEMICAL NEUROSCIENCE","1948-7193","1948-7193","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Medicinal | Biochemistry & Molecular Biology | Neurosciences"
"ACS COMBINATORIAL SCIENCE","2156-8952","2156-8944","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Medicinal | Chemistry, Multidisciplinary | Chemistry, Applied"
"ACS INFECTIOUS DISEASES","2373-8227","2373-8227","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Medicinal | Infectious Diseases"
"ACS MEDICINAL CHEMISTRY LETTERS","1948-5875","1948-5875","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry, Medicinal"
"ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE","2575-9108","2575-9108","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Pharmacology & Pharmacy | Chemistry, Medicinal"
"ACS SYNTHETIC BIOLOGY","2161-5063","2161-5063","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Biochemical Research Methods"
"ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE","0906-4702","1651-1972","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154","English","Agriculture, Dairy & Animal Science"
"ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE","0906-4710","1651-1913","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154","English","Agronomy | Soil Science"
"ACTA AGROBOTANICA","0065-0951","2300-357X","POLSKIE TOWARZYSTWO BOTANICZNE","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478","English","Plant Sciences | Agronomy"
"ACTA ALIMENTARIA","0139-3006","1588-2535","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Nutrition & Dietetics | Food Science & Technology"
"ACTA AMAZONICA","0044-5967","1809-4392","INST NACIONAL PESQUISAS AMAZONIA","CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, BRAZIL, AMAZONAS, 00000","English, Portuguese, Spanish","Plant Sciences | Zoology | Forestry | Agronomy"
"ACTA ANAESTHESIOLOGICA SCANDINAVICA","0001-5172","1399-6576","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anesthesiology"
"ACTA ANATOMICA SINICA","0529-1356","0529-1356","CHINESE SOC ANATOMICAL SCIENCES","42 DONGSI XIDAJIE, BEIJING, PEOPLES R CHINA, 100710","","Medicine, General & Internal"
