"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"AAAS ANNUAL MEETING AND SCIENCE INNOVATION EXPOSITION","","","AMER ASSOC ADVANCEMENT SCIENCE","1200 NEW YORK AVE, NW, WASHINGTON, USA, DC, 20005","","Multidisciplinary Sciences"
"ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","0065-7727","","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Chemistry, Multidisciplinary"
"ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY","1060-2011","","AMER SOC MICROBIOLOGY","1752 N ST NW, WASHINGTON, USA, DC, 20036-2904","","Microbiology"
"ABSTRACTS OF THE INTERSCIENCE CONFERENCE ON ANTIMICROBIAL AGENTS AND CHEMOTHERAPY","0733-6373","","AMER SOC MICROBIOLOGY","1752 N ST NW, WASHINGTON, USA, DC, 20036-2904","","Oncology"
"ADVANCED DRUG DELIVERY REVIEWS","0169-409X","1872-8294","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Pharmacology & Pharmacy"
"ADVANCES IN AGRONOMY","0065-2113","2213-6789","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Agronomy"
"ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY","0301-5556","2192-7065","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Anatomy & Morphology | Cell Biology"
"ADVANCES IN APPLIED MICROBIOLOGY","0065-2164","","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Microbiology | Biotechnology & Applied Microbiology"
"ADVANCES IN BIOCHEMICAL ENGINEERING-BIOTECHNOLOGY","0724-6145","1616-8542","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Biotechnology & Applied Microbiology"
"ADVANCES IN BOTANICAL RESEARCH","0065-2296","2162-5948","ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD","125 LONDON WALL, LONDON, ENGLAND, EC2Y 5AS","English","Plant Sciences"
"ADVANCES IN CANCER RESEARCH","0065-230X","2162-5557","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Oncology"
"ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY","0065-2318","2162-5530","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Chemistry, Organic | Biochemistry & Molecular Biology"
"ADVANCES IN CHILD DEVELOPMENT AND BEHAVIOR","0065-2407","","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Psychology, Developmental"
"ADVANCES IN CLINICAL CHEMISTRY","0065-2423","2162-9471","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Medical Laboratory Technology"
"ADVANCES IN ECOLOGICAL RESEARCH","0065-2504","2163-582X","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Ecology"
"ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY","0065-2598","2214-8019","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Medicine, Research & Experimental | Biology"
"ADVANCES IN GENETICS","0065-2660","","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Genetics & Heredity"
"ADVANCES IN IMMUNOLOGY","0065-2776","1557-8445","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Immunology"
"ADVANCES IN INSECT PHYSIOLOGY","0065-2806","2213-6800","ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD","125 LONDON WALL, LONDON, ENGLAND, EC2Y 5AS","English","Entomology"
"ADVANCES IN MARINE BIOLOGY","0065-2881","2162-5875","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Marine & Freshwater Biology"
"ADVANCES IN MICROBIAL PHYSIOLOGY","0065-2911","2162-5468","ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD","125 LONDON WALL, LONDON, ENGLAND, EC2Y 5AS","English","Microbiology | Biochemistry & Molecular Biology"
"ADVANCES IN PARASITOLOGY","0065-308X","2163-6079","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Parasitology"
"ADVANCES IN PROTEIN CHEMISTRY AND STRUCTURAL BIOLOGY","1876-1623","1876-1623","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Biochemistry & Molecular Biology"
"ADVANCES IN THE STUDY OF BEHAVIOR","0065-3454","2162-8823","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Behavioral Sciences"
"ADVANCES IN VIRUS RESEARCH","0065-3527","1557-8399","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Virology"
"AGEING RESEARCH REVIEWS","1568-1637","1872-9649","ELSEVIER IRELAND LTD","ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000","English","Geriatrics & Gerontology | Cell Biology"
"AIDS REVIEWS","1139-6121","1698-6997","PERMANYER PUBL","MALLORCA, 310, BARCELONA, SPAIN, 08037","English","Infectious Diseases | Immunology"
"AMERICAN FISHERIES SOCIETY ANNUAL MEETING","","","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","","Fisheries"
"AMERICAN SCIENTIST","0003-0996","1545-2786","SIGMA XI-SCI RES SOC","PO BOX 13975, RES TRIANGLE PK, USA, NC, 27709","English","Multidisciplinary Sciences"
"ANIMAL HEALTH RESEARCH REVIEWS","1466-2523","1475-2654","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Veterinary Sciences"
"ANNUAL REPORTS IN MEDICINAL CHEMISTRY","0065-7743","0065-7743","ELSEVIER ACADEMIC PRESS INC","525 B STREET, SUITE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Chemistry, Medicinal | Pharmacology & Pharmacy"
"ANNUAL REVIEW OF ANIMAL BIOSCIENCES","2165-8102","","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Veterinary Sciences | Agriculture, Dairy & Animal Science | Zoology"
"ANNUAL REVIEW OF ANTHROPOLOGY","0084-6570","1545-4290","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Anthropology"
"ANNUAL REVIEW OF BIOCHEMISTRY","0066-4154","1545-4509","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Biochemistry & Molecular Biology"
"ANNUAL REVIEW OF BIOMEDICAL DATA SCIENCE","2574-3414","2574-3414","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","","Mathematical & Computational Biology"
"ANNUAL REVIEW OF BIOMEDICAL ENGINEERING","1523-9829","1545-4274","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Engineering, Biomedical"
"ANNUAL REVIEW OF BIOPHYSICS","1936-122X","1936-1238","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Biophysics"
"ANNUAL REVIEW OF CANCER BIOLOGY-SERIES","2472-3428","2472-3428","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Oncology"
"ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY","1081-0706","1530-8995","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Developmental Biology | Cell Biology"
"ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS","1543-592X","1545-2069","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Evolutionary Biology | Ecology"
"ANNUAL REVIEW OF ENTOMOLOGY","0066-4170","1545-4487","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Entomology"
"ANNUAL REVIEW OF FOOD SCIENCE AND TECHNOLOGY","1941-1413","1941-1421","ANNUAL REVIEWS","4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0897","English","Food Science & Technology"
