"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACADEMIC PSYCHIATRY","1042-9670","1545-7230","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Psychiatry"
"ACADEMY OF MANAGEMENT ANNALS","1941-6520","1941-6067","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management"
"ACADEMY OF MANAGEMENT JOURNAL","0001-4273","1948-0989","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management"
"ACADEMY OF MANAGEMENT LEARNING & EDUCATION","1537-260X","1944-9585","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management"
"ACADEMY OF MANAGEMENT PERSPECTIVES","1558-9080","1943-4529","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management"
"ACADEMY OF MANAGEMENT REVIEW","0363-7425","1930-3807","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management"
"ACCIDENT ANALYSIS AND PREVENTION","0001-4575","1879-2057","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Public Health & Health Care Science"
"ACCOUNTING AND BUSINESS RESEARCH","0001-4788","2159-4260","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Economics"
"ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL","0951-3574","1758-4205","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Economics"
"ACCOUNTING FORUM","0155-9982","1467-6303","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Economics"
"ACCOUNTING HORIZONS","0888-7993","1558-7975","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Economics"
"ACCOUNTING ORGANIZATIONS AND SOCIETY","0361-3682","1873-6289","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Economics"
"ACCOUNTING REVIEW","0001-4826","1558-7967","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Economics"
"ACTA PSYCHIATRICA SCANDINAVICA","0001-690X","1600-0447","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychiatry"
"ACTA PSYCHOLOGICA","0001-6918","1873-6297","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Psychology"
"ACTA SOCIOLOGICA","0001-6993","1502-3869","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Sociology & Social Sciences"
"ACTES DE LA RECHERCHE EN SCIENCES SOCIALES","0335-5322","1955-2564","EDITIONS SEUIL","27 RUE JACOB, PARIS, FRANCE, 75006","French","Sociology & Social Sciences"
"ACTION RESEARCH","1476-7503","1741-2617","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Management"
"ACTIVE LEARNING IN HIGHER EDUCATION","1469-7874","1741-2625","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education"
