"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACAROLOGIA","0044-586X","2107-7207","ACAROLOGIA-UNIVERSITE PAUL VALERY","SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090","Multi-Language","Entomology/Pest Control"
"ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE","0906-4702","1651-1972","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154","English","Animal Sciences"
"ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE","0906-4710","1651-1913","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154","English","Agriculture/Agronomy"
"ACTA ALIMENTARIA","0139-3006","1588-2535","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Food Science/Nutrition"
"ACTA AMAZONICA","0044-5967","1809-4392","INST NACIONAL PESQUISAS AMAZONIA","CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, BRAZIL, AMAZONAS, 00000","English, Portuguese, Spanish","Environment/Ecology"
"ACTA BIOLOGICA COLOMBIANA","1900-1649","1900-1649","UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL","APARTADO AEREO 14490, BOGOTA, COLOMBIA, 00000","Spanish, English, Portuguese","Plant Sciences"
"ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA","0001-5296","1898-0295","POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW","PL DEFILAD 1, WARSZAWA, POLAND, 00-901","English","Plant Sciences"
"ACTA BIOTHEORETICA","0001-5342","1572-8358","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Biology"
"ACTA CHIROPTEROLOGICA","1508-1109","1733-5329","MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES","WILCZA STREET 64, WARSAW, POLAND, 00-679","English","Animal Sciences"
"ACTA ETHOLOGICA","0873-9749","1437-9546","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Animal Sciences"
"ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY","1146-609X","1873-6238","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","Multi-Language","Environment/Ecology"
"ACTA ORNITHOLOGICA","0001-6454","1734-8471","MUSEUM & INST ZOOLOGY","WILCZA 64, WARSAW, POLAND, PL-00-679","Multi-Language","Animal Sciences"
"ACTA PARASITOLOGICA","1230-2821","1896-1851","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Biology"
"ACTA PHYSIOLOGIAE PLANTARUM","0137-5881","1861-1664","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Plant Sciences"
"ACTA PHYTOTAXONOMICA ET GEOBOTANICA","1346-7565","2189-7042","JAPANESE SOC PLANT SYSTEMATICS, UNIV TOKYO, GRADUATE SCH","BOTANICAL GARDENS, 3-7-1 HAKUSAN, TOKYO, JAPAN, 00000","English","Plant Sciences"
"ACTA PROTOZOOLOGICA","0065-1583","1689-0027","JAGIELLONIAN UNIV, INST ENVIRONMENTAL SCIENCES","GRONOSTAJOWA 7, KRAKOW, POLAND, 30-387","English","Biology"
"ACTA SOCIETATIS BOTANICORUM POLONIAE","0001-6977","2083-9480","POLSKIE TOWARZYSTWO BOTANICZNE","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478","English","Plant Sciences"
"ACTA VETERINARIA-BEOGRAD","0567-8315","1820-7448","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Veterinary Medicine/Animal Health"
"ACTA VETERINARIA BRNO","0001-7213","1801-7576","VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO","PALACKEHO 1-3, BRNO, CZECH REPUBLIC, CS-612 42","Multi-Language","Veterinary Medicine/Animal Health"
"ACTA VETERINARIA HUNGARICA","0236-6290","1588-2705","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Veterinary Medicine/Animal Health"
"ACTA VETERINARIA SCANDINAVICA","0044-605X","1751-0147","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Veterinary Medicine/Animal Health"
"ACTA ZOOLOGICA","0001-7272","1463-6395","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","Multi-Language","Animal Sciences"
