"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK","0171-5410","","GUNTER NARR VERLAG","DISCHINGERWEG 5, TUBINGEN, GERMANY, D 72070","","Language & Linguistics"
"AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE","2166-4072","2164-9731","AB IMPERIO INC","116 GLENDALE RD, AMHERST, United States, MA, 01002","","History"
"ACADIENSIS","0044-5851","1712-7432","UNIV NEW BRUNSWICK","DEPT HISTORY, FREDERICTON, CANADA, NB, E3B 5A3","","History"
"ACTA KOREANA","1520-7412","","ACADEMIA KOREANA KEIMYUNG UNIV","1095 DALGUBEOLDAERO, DALSEO-GU, DAEGU, SOUTH KOREA, 704-701","","General"
"ACTA MUSICOLOGICA","0001-6241","","INT MUSICOLOGICAL SOC","BOX 561, BASEL, SWITZERLAND, CH-4001","","Performing Arts"
"ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE","1588-2667","0001-6446","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","","General"
"ACTA PHILOSOPHICA","1121-2179","1825-6562","FABRIZIO SERRA EDITORE","PO BOX  NO,1, SUCC NO. 8, PISA, ITALY, I-56123","","Philosophy"
"ACTA POLONIAE HISTORICA","0001-6829","0001-6829","INST HISTORY- PAN","RYNEK STAREGO MIASTA 29-31, WARSAW, POLAND, 00272","","History"
"ADALYA","1301-2746","","KOC UNIV SUNA & INAN KIRAC RES CTR MEDITERRANEAN CIVILIZATIONS-AKMED","BARBAROS MAH KOCATEPE SK NO 22, KALEICI, TURKEY, ANTALYA, 07100","","Archaeology"
"ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES","1755-0637","1755-0645","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","","Literature"
"ADVANCES IN ARCHAEOLOGICAL PRACTICE","2326-3768","2326-3768","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","","Archaeology"
"AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE","0001-9593","1827-787X","VITA PENSIERO","PUBBLICAZIONI DELL UNIV CATTOLICA DEL SACRO CUORE, LARGO A GEMELLI 1, MILAN, ITALY, 20123","","General"
