"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACADEMY OF MANAGEMENT JOURNAL","0001-4273","1948-0989","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management & Organization"
"ACADEMY OF MANAGEMENT REVIEW","0363-7425","1930-3807","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Management & Organization"
"ACCOUNTING ORGANIZATIONS AND SOCIETY","0361-3682","1873-6289","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Accounting & Finance"
"ACCOUNTING REVIEW","0001-4826","1558-7967","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Accounting & Finance"
"ADMINISTRATIVE LAW REVIEW","0001-8368","2326-9154","AMER BAR ASSOC, ADMINISTRATIVE LAW & REGULATORY PRACTICE SECTION","321 N CLARK ST, CHICAGO, USA, IL, 60610","English","Business Law & Reviews"
"ADMINISTRATIVE SCIENCE QUARTERLY","0001-8392","1930-3815","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Management & Organization"
"AMERICAN BANKRUPTCY LAW JOURNAL","0027-9048","","NATL CONF BANKRUPT J","235 SECRET COVE DR, LEXINGTON, USA, SC, 29072","English","Business Law & Reviews"
"AMERICAN BUSINESS LAW JOURNAL","0002-7766","1744-1714","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business Law & Reviews"
"AMERICAN JOURNAL OF INTERNATIONAL LAW","0002-9300","2161-7953","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Business Law & Reviews"
"ANTITRUST LAW JOURNAL","0003-6056","2326-9774","AMER BAR ASSOC, ADMINISTRATIVE LAW & REGULATORY PRACTICE SECTION","321 N CLARK ST, CHICAGO, USA, IL, 60610","English","Business Law & Reviews"
"AUDITING-A JOURNAL OF PRACTICE & THEORY","0278-0380","1558-7991","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","English","Accounting & Finance"
"BUSINESS HISTORY","0007-6791","1743-7938","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business & Economics"
"BUSINESS HISTORY REVIEW","0007-6805","2044-768X","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Business & Economics"
"CALIFORNIA LAW REVIEW","0008-1221","1942-6542","UNIV CALIFORNIA  BERKELEY SCH LAW","BOAT HALL, 588 SIMON HALL, BERKELEY, USA, CA, 94720-7200","English","Business Law & Reviews"
"CALIFORNIA MANAGEMENT REVIEW","0008-1256","2162-8564","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Management & Organization"
"CAREER DEVELOPMENT QUARTERLY","0889-4019","2161-0045","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Employee Relations & Human Resources"
"COLUMBIA LAW REVIEW","0010-1958","1945-2268","COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC","COLUMBIA UNIV, SCHOOL LAW, 435 W 116TH ST, NEW YORK, USA, NY, 10027","English","Business Law & Reviews"
"COMMON MARKET LAW REVIEW","0165-0750","1875-8320","KLUWER LAW INT","ZUIDPOOLSINGEL 2, PO BOX 316, ALPHEN AAN DEN RIJN, NETHERLANDS, 2400 AH","English","Business Law & Reviews"
"CONFLICT MANAGEMENT AND PEACE SCIENCE","0738-8942","1549-9219","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Political Science, Public Admin. & Development"
"CORNELL LAW REVIEW","0010-8847","0010-8847","CORNELL LAW REVIEW","CORNELL LAW SCHOOL, ITHACA, USA, NY, 14853-4901","English","Business Law & Reviews"
"DECISION SCIENCES","0011-7315","1540-5915","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Management & Organization"
"DEVELOPING ECONOMIES","0012-1533","1746-1049","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business & Economics"
"DUKE LAW JOURNAL","0012-7086","1939-9111","DUKE UNIV","SCHOOL LAW BOX 90364, DURHAM, USA, NC, 27708-0364","English","Business Law & Reviews"
"ECOLOGY LAW QUARTERLY","0046-1121","0046-1121","UNIV CALIFORNIA  BERKELEY SCH LAW","BOAT HALL, 588 SIMON HALL, BERKELEY, USA, CA, 94720-7200","English","Business Law & Reviews"
"ECONOMIC DEVELOPMENT AND CULTURAL CHANGE","0013-0079","1539-2988","UNIV CHICAGO PRESS","1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954","English","Business & Economics"
"ECONOMIC DEVELOPMENT QUARTERLY","0891-2424","1552-3543","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Business & Economics"
"EMERGING MARKETS FINANCE AND TRADE","1540-496X","1558-0938","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Accounting & Finance"
"ENERGY CONVERSION AND MANAGEMENT","0196-8904","1879-2227","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Management & Organization"
"ENTERPRISE & SOCIETY","1467-2227","1467-2235","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Business & Economics"
"ENTREPRENEURSHIP THEORY AND PRACTICE","1042-2587","1540-6520","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Business & Economics"
"FAMILY BUSINESS REVIEW","0894-4865","1741-6248","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Business & Economics"
"FINANCIAL MANAGEMENT","0046-3892","1755-053X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Management & Organization"
"FOOD AND DRUG LAW JOURNAL","1064-590X","","FOOD DRUG LAW INST","1000 VERMONT AVE NW, SUITE 1200, WASHINGTON, USA, DC, 20005-4903","English","Business Law & Reviews"
"FORBES","0015-6914","0015-6914","FORBES INC","60 FIFTH AVE, NEW YORK, USA, NY, 10011","English","Business & Economics"
"GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE","1018-5895","1468-0440","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Business & Economics"
"GENEVA RISK AND INSURANCE REVIEW","1554-964X","1554-9658","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Business & Economics"
"GEORGETOWN LAW JOURNAL","0016-8092","0016-8092","GEORGETOWN LAW JOURNAL ASSOC","600 NEW JERSEY AVE N W, WASHINGTON, USA, DC, 20001","English","Business Law & Reviews"
"GEORGE WASHINGTON LAW REVIEW","0016-8076","0016-8076","GEORGE WASHINGTON UNIV","2000 H STREET N W, WASHINGTON, USA, DC, 20052","English","Business Law & Reviews"
"GOVERNMENT AND OPPOSITION","0017-257X","1477-7053","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Political Science, Public Admin. & Development"
"GROUP DECISION AND NEGOTIATION","0926-2644","1572-9907","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Employee Relations & Human Resources"
"GROUP & ORGANIZATION MANAGEMENT","1059-6011","1552-3993","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Management & Organization"
"HARVARD BUSINESS REVIEW","0017-8012","0017-8012","HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION","300 NORTH BEACON STREET, WATERTOWN, USA, MA, 02472","English","Business & Economics"
"HARVARD CIVIL RIGHTS-CIVIL LIBERTIES LAW REVIEW","0017-8039","1943-5061","HARVARD LAW SCHOOL","PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138","English","Business Law & Reviews"
"HARVARD ENVIRONMENTAL LAW REVIEW","0147-8257","","HARVARD LAW SCHOOL","PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138","English","Business Law & Reviews"
"HARVARD INTERNATIONAL LAW JOURNAL","0017-8063","2153-2494","HARVARD LAW SCHOOL","PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138","English","Business Law & Reviews"
"HARVARD JOURNAL OF LAW AND PUBLIC POLICY","0193-4872","0193-4872","HARVARD SOC LAW PUBLIC POLICY","HARVARD LAW SCHOOL, CAMBRIDGE, USA, MA, 02138","English","Business Law & Reviews"
"HARVARD JOURNAL ON LEGISLATION","0017-808X","1943-507X","HARVARD LAW SCHOOL","PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138","English","Business Law & Reviews"
"HARVARD LAW REVIEW","0017-811X","2161-976X","HARVARD LAW REV ASSOC","GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, USA, MA, 02138","English","Business Law & Reviews"
"HASTINGS LAW JOURNAL","0017-8322","0017-8322","UNIV CALIF","HASTINGS COLLEGE LAW 200 MCALLISTER ST, SAN FRANCISCO, USA, CA, 94102","English","Business Law & Reviews"
"HEALTH CARE MANAGEMENT REVIEW","0361-6274","1550-5030","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Management & Organization"
"HUMAN PERFORMANCE","0895-9285","1532-7043","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Employee Relations & Human Resources"
"HUMAN RESOURCE MANAGEMENT","0090-4848","1099-050X","WILEY PERIODICALS, INC","ONE MONTGOMERY ST, SUITE 1200, SAN FRANCISCO, USA, CA, 94104","English","Employee Relations & Human Resources"
"IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES","0265-5012","1759-5436","INST DEVELOPMENT STUDIES","UNIV SUSSEX, BRIGHTON, ENGLAND, E SUSSEX, BN1 9RE","English","Political Science, Public Admin. & Development"
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","0018-9391","1558-0040","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Management & Organization"
"IMF ECONOMIC REVIEW","2041-4161","2041-417X","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Business & Economics"
"INDIANA LAW JOURNAL","0019-6665","2169-3218","INDIANA LAW JOURNAL","INDIANA UNIV SCHOOL LAW, BLOOMINGTON, USA, IN, 47405","English","Business Law & Reviews"
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","0263-5577","1758-5783","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Management & Organization"
"INDUSTRIAL MARKETING MANAGEMENT","0019-8501","1873-2062","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Marketing & Business Communication"
"INFORMATION & MANAGEMENT","0378-7206","1872-7530","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Computer Technology & Information Systems"
"INFORMATION SYSTEMS MANAGEMENT","1058-0530","1934-8703","AUERBACH PUBLICATIONS","C/O CRC PRESS L L C, 2000 CORPORATE BLVD NW, BOCA RATON, USA, FL, 33431","English","Computer Technology & Information Systems"
"INTERNATIONAL BUSINESS REVIEW","0969-5931","1873-6149","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Business & Economics"
"INTERNATIONAL JOURNAL OF ADVERTISING","0265-0487","1759-3948","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Marketing & Business Communication"
"INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT","1044-4068","1758-8545","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Management & Organization"
"INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE","1086-4415","1557-9301","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Business & Economics"
"INTERNATIONAL JOURNAL OF FORECASTING","0169-2070","1872-8200","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","Multi-Language","Business & Economics"
"INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT","0749-6753","1099-1751","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Management & Organization"
"INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY","0160-2527","1873-6386","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Business Law & Reviews"
"INTERNATIONAL JOURNAL OF MANPOWER","0143-7720","1758-6577","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Employee Relations & Human Resources"
"INTERNATIONAL JOURNAL OF MARKET RESEARCH","1470-7853","2515-2173","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Marketing & Business Communication"
"INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT","0144-3577","1758-6593","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Management & Organization"
"INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT","0965-075X","1468-2389","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Employee Relations & Human Resources"
"INTERNATIONAL REVIEW OF LAW AND ECONOMICS","0144-8188","1873-6394","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Business & Economics"
"IOWA LAW REVIEW","0021-0552","","UNIV IOWA, COLL LAW","290 BOYD LAW BLDG, IOWA CITY, USA, IA, 52242","English","Business Law & Reviews"
"JCMS-JOURNAL OF COMMON MARKET STUDIES","0021-9886","1468-5965","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business & Economics"
"JOURNAL OF ACCOUNTING & ECONOMICS","0165-4101","1879-1980","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Accounting & Finance"
"JOURNAL OF ACCOUNTING RESEARCH","0021-8456","1475-679X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Accounting & Finance"
"JOURNAL OF ADVERTISING","0091-3367","1557-7805","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Marketing & Business Communication"
"JOURNAL OF ADVERTISING RESEARCH","0021-8499","1740-1909","ADVERTISING RESEARCH FOUNDATION","432 PARK AVENUE SOUTH, 6TH FLOOR, NEW YORK, USA, NY, 10016","English","Marketing & Business Communication"
"JOURNAL OF BANKING & FINANCE","0378-4266","1872-6372","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Accounting & Finance"
