"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ABDOMINAL RADIOLOGY","2366-004X","2366-0058","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Radiology, Nuclear Medicine & Imaging"
"ACADEMIC EMERGENCY MEDICINE","1069-6563","1553-2712","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anesthesia & Intensive Care"
"ACADEMIC MEDICINE","1040-2446","1938-808X","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Health Care Sciences & Services"
"ACADEMIC PEDIATRICS","1876-2859","1876-2867","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Pediatrics"
"ACADEMIC RADIOLOGY","1076-6332","1878-4046","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Radiology, Nuclear Medicine & Imaging"
"ACTA ANAESTHESIOLOGICA SCANDINAVICA","0001-5172","1399-6576","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Anesthesia & Intensive Care"
"ACTA BIOMATERIALIA","1742-7061","1878-7568","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English",""
"ACTA CARDIOLOGICA","0001-5385","1784-973X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Cardiovascular & Respiratory Systems"
"ACTA CHIRURGICA BELGICA","0001-5458","0001-5458","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","Multi-Language","Surgery"
"ACTA CLINICA BELGICA","1784-3286","2295-3337","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","General & Internal Medicine"
"ACTA DERMATO-VENEREOLOGICA","0001-5555","1651-2057","ACTA DERMATO-VENEREOLOGICA","TRADGARDSGATAN 14, UPPSALA, SWEDEN, SE-753 09","English","Dermatology"
"ACTA GASTRO-ENTEROLOGICA BELGICA","1784-3227","","UNIV CATHOLIQUE LOUVAIN-UCL","CLIN UNIV SAINT LUC, AVE HIPPOCRATE 10, BRUSSELS, BELGIUM, B-1200","Multi-Language","Gastroenterology And Hepatology"
"ACTA HAEMATOLOGICA","0001-5792","1421-9662","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009","English","Hematology"
"ACTA NEUROCHIRURGICA","0001-6268","0942-0940","SPRINGER WIEN","SACHSENPLATZ 4-6, PO BOX 89, WIEN, AUSTRIA, A-1201","English","Neurology"
"ACTA NEUROLOGICA BELGICA","0300-9009","2240-2993","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","Multi-Language","Neurology"
"ACTA NEUROLOGICA SCANDINAVICA","0001-6314","1600-0404","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Neurology"
"ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA","0001-6349","1600-0412","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Reproductive Medicine"
"ACTA ODONTOLOGICA SCANDINAVICA","0001-6357","1502-3850","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Dentistry/Oral Surgery & Medicine"
"ACTA OPHTHALMOLOGICA","1755-375X","1755-3768","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Ophthalmology"
"ACTA ORTHOPAEDICA","1745-3674","1745-3682","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Orthopedics, Rehabilitation & Sports Medicine"
"ACTA OTO-LARYNGOLOGICA","0001-6489","1651-2251","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","Multi-Language","Otolaryngology"
"ACTA PAEDIATRICA","0803-5253","1651-2227","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Pediatrics"
"ACTA PSYCHIATRICA SCANDINAVICA","0001-690X","1600-0447","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Clinical Psychology & Psychiatry"
"ACTA RADIOLOGICA","0284-1851","1600-0455","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Radiology, Nuclear Medicine & Imaging"
"ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA","1644-0730","1898-9594","POZNAN UNIV LIFE SCIENCES","UL WITOSA 45, POZNAN, POLAND, 61-693","",""
"ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH","0360-1293","2167-9010","COGNIZANT COMMUNICATION CORP","18 PEEKSKILL HOLLOW RD, PO BOX 37, PUTNAM VALLEY, USA, NY, 10579","English","Neurology"
"ACUPUNCTURE IN MEDICINE","0964-5284","1759-9873","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Health Care Sciences & Services"
"ADDICTION","0965-2140","1360-0443","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Clinical Psychology & Psychiatry"
"ADDICTION SCIENCE & CLINICAL PRACTICE","1940-0640","1940-0640","BMC","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","English","Environmental Medicine & Public Health"
"ADVANCES IN ANATOMIC PATHOLOGY","1072-4109","1533-4031","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Research/Laboratory Medicine & Medical Technology"
"ADVANCES IN CHRONIC KIDNEY DISEASE","1548-5595","1548-5609","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899","English","Urology & Nephrology"
"ADVANCES IN SKIN & WOUND CARE","1527-7941","1538-8654","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Dermatology"
"ADVANCES IN THERAPY","0741-238X","1865-8652","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Pharmacology/Toxicology"
"ADVANCES IN WOUND CARE","2162-1918","2162-1934","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801","English","Dermatology"
"AEROSPACE MEDICINE AND HUMAN PERFORMANCE","2375-6314","2375-6322","AEROSPACE MEDICAL ASSOC","320 S HENRY ST, ALEXANDRIA, USA, VA, 22314-3579","English","Environmental Medicine & Public Health"
"AESTHETIC PLASTIC SURGERY","0364-216X","1432-5241","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Surgery"
"AESTHETIC SURGERY JOURNAL","1090-820X","1527-330X","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","Surgery"
"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503","MAKERERE UNIV, FAC MED","PO BOX 7072, KAMPALA, UGANDA, 00000","English",""
"AFRICAN JOURNAL OF EMERGENCY MEDICINE","2211-419X","2211-4203","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Anesthesia & Intensive Care"
"AGE AND AGEING","0002-0729","1468-2834","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","General & Internal Medicine"
"AGING CLINICAL AND EXPERIMENTAL RESEARCH","1594-0667","1720-8319","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","General & Internal Medicine"
"AGING MALE","1368-5538","1473-0790","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Urology & Nephrology"
"AGING & MENTAL HEALTH","1360-7863","1364-6915","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Clinical Psychology & Psychiatry"
"AGING-US","1945-4589","0002-0966","IMPACT JOURNALS LLC","6666 E QUAKER ST, STE 1, ORCHARD PARK, USA, NY, 14127","English","General & Internal Medicine"
"AIDS","0269-9370","1473-5571","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Clinical Immunology & Infectious Disease"
"AIDS REVIEWS","1139-6121","1698-6997","PERMANYER PUBL","MALLORCA, 310, BARCELONA, SPAIN, 08037","English","Clinical Immunology & Infectious Disease"
"AKTUELLE UROLOGIE","0001-7868","1438-8820","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469","Multi-Language","Urology & Nephrology"
"ALCOHOL AND ALCOHOLISM","0735-0414","1464-3502","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Clinical Psychology & Psychiatry"
"ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH","0145-6008","1530-0277","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Clinical Psychology & Psychiatry"
"ALIMENTARY PHARMACOLOGY & THERAPEUTICS","0269-2813","1365-2036","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Gastroenterology And Hepatology"
"ALLERGOLOGIE","0344-5062","0344-5062","DUSTRI-VERLAG DR KARL FEISTLE","BAHNHOFSTRASSE 9 POSTFACH 49, DEISENHOFEN-MUENCHEN, GERMANY, D-82032","German","Clinical Immunology & Infectious Disease"
