"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science, Technology & Applications"
"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS","1084-4309","1557-7309","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science, Technology & Applications"
"ACM TRANSACTIONS ON STORAGE","1553-3077","1553-3093","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science, Technology & Applications"
"ADVANCED FUNCTIONAL MATERIALS","1616-301X","1616-3028","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English","Semiconductors & Solid State Materials Technology"
"AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS","1434-8411","1618-0399","ELSEVIER GMBH","HACKERBRUCKE 6, MUNICH, GERMANY, 80335","Multi-Language","Telecommunications Technology"
"ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING","0925-1030","1573-1979","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Signal Processing/Circuits & Systems"
"APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL","1054-4887","1943-5711","APPLIED COMPUTATIONAL ELECTROMAGNETICS SOC","UNIV MISSISSIPPI, DEPT ELECTRICAL ENGINEERING, UNIVERSITY, USA, MS, 38677","English","Signal Processing/Circuits & Systems"
"APPLIED OPTICS","1559-128X","2155-3165","OPTICAL SOC AMER","2010 MASSACHUSETTS AVE NW, WASHINGTON, USA, DC, 20036","English","Optics & Laser Research & Technology"
"APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING","0947-8396","1432-0630","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Semiconductors & Solid State Materials Technology"
"APPLIED PHYSICS B-LASERS AND OPTICS","0946-2171","1432-0649","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Optics & Laser Research & Technology"
"APPLIED PHYSICS EXPRESS","1882-0778","1882-0786","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE","English","Chemistry & Physics, Pure & Applied"
"APPLIED PHYSICS LETTERS","0003-6951","1077-3118","AMER INST PHYSICS","1305 WALT WHITMAN RD, STE 300, MELVILLE, USA, NY, 11747-4501","English","Chemistry & Physics, Pure & Applied"
"BELL LABS TECHNICAL JOURNAL","1089-7089","1538-7305","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Telecommunications Technology"
"CHINESE JOURNAL OF ELECTRONICS","1022-4653","2075-5597","TECHNOLOGY EXCHANGE LIMITED HONG KONG","BLDG#13, PUHUINANLI, SOUTH YUYUANTAN RD, HAIDIAN DIST, BEIJING, PEOPLES R CHINA, 00000","English","Electronics & Electrical Engineering"
"CIRCUITS SYSTEMS AND SIGNAL PROCESSING","0278-081X","1531-5878","SPRINGER BIRKHAUSER","233 SPRING STREET, 6TH FLOOR, NEW YORK, USA, NY, 10013","English","Signal Processing/Circuits & Systems"
"CIRCUIT WORLD","0305-6120","1758-602X","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Signal Processing/Circuits & Systems"
"COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING","0332-1649","0332-1649","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Electronics & Electrical Engineering"
"COMPUTER-AIDED DESIGN","0010-4485","1879-2685","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Computer Science, Technology & Applications"
"COMPUTERS & ELECTRICAL ENGINEERING","0045-7906","1879-0755","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Computer Science, Technology & Applications"
"COMPUTING IN SCIENCE & ENGINEERING","1521-9615","1558-366X","IEEE COMPUTER SOC","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, USA, CA, 90720-1314","English","Computer Science, Technology & Applications"
"CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES","1040-8436","1547-6561","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Semiconductors & Solid State Materials Technology"
"CRYPTOLOGIA","0161-1194","1558-1586","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Computer Science, Technology & Applications"
"CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE","1359-0286","1879-0348","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Semiconductors & Solid State Materials Technology"
"ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY","2162-8769","2162-8777","ELECTROCHEMICAL SOC INC","65 SOUTH MAIN STREET, PENNINGTON, USA, NJ, 08534","English","Semiconductors & Solid State Materials Technology"
"ELECTRICAL ENGINEERING","0948-7921","1432-0487","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","Multi-Language","Electronics & Electrical Engineering"
"ELECTRICAL ENGINEERING IN JAPAN","0424-7760","1520-6416","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Electronics & Electrical Engineering"
"ELECTRONICS AND COMMUNICATIONS IN JAPAN","1942-9533","1942-9541","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Electronics & Electrical Engineering"
"ELECTRONICS LETTERS","0013-5194","1350-911X","INST ENGINEERING TECHNOLOGY-IET","MICHAEL FARADAY HOUSE SIX HILLS WAY STEVENAGE, HERTFORD, ENGLAND, SG1 2AY","English","Electronics & Electrical Engineering"
"EPE JOURNAL","0939-8368","2376-9319","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Electronics & Electrical Engineering"
"EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING","1687-5176","1687-5281","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Signal Processing/Circuits & Systems"
"EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING","1687-1472","1687-1499","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Telecommunications Technology"
"FIBER AND INTEGRATED OPTICS","0146-8030","1096-4681","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Optics & Laser Research & Technology"
"FUJITSU SCIENTIFIC & TECHNICAL JOURNAL","0016-2523","","FUJITSU LTD","1015 KAMIKODANAKU NAKAHARA-KU, KAWASAKI, JAPAN, 211","English","Electronics & Electrical Engineering"
"IBM JOURNAL OF RESEARCH AND DEVELOPMENT","0018-8646","2151-8556","IBM CORP","1 NEW ORCHARD ROAD, ARMONK, USA, NY, 10504","English","Computer Science, Technology & Applications"
"IEEE ACCESS","2169-3536","2169-3536","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Electronics & Electrical Engineering"
"IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE","0885-8985","1557-959X","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Electronics & Electrical Engineering"
"IEEE ANTENNAS AND PROPAGATION MAGAZINE","1045-9243","1558-4143","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Signal Processing/Circuits & Systems"
"IEEE CIRCUITS AND SYSTEMS MAGAZINE","1531-636X","1558-0830","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Signal Processing/Circuits & Systems"
"IEEE COMMUNICATIONS MAGAZINE","0163-6804","1558-1896","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Telecommunications Technology"
"IEEE COMMUNICATIONS SURVEYS AND TUTORIALS","1553-877X","1553-877X","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Telecommunications Technology"
"IEEE COMPUTER ARCHITECTURE LETTERS","1556-6056","1556-6064","IEEE COMPUTER SOC","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, USA, CA, 90720-1314","English","Computer Science, Technology & Applications"
"IEEE ELECTRON DEVICE LETTERS","0741-3106","1558-0563","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Electronics & Electrical Engineering"
"IEEE INDUSTRIAL ELECTRONICS MAGAZINE","1932-4529","1941-0115","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Electronics & Electrical Engineering"
"IEEE INDUSTRY APPLICATIONS MAGAZINE","1077-2618","1558-0598","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Electronics & Electrical Engineering"
"IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE","1094-6969","1941-0123","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Electronics & Electrical Engineering"
"IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS","2168-2194","2168-2208","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, USA, NJ, 08855-4141","English","Telecommunications Technology"
