"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"3D PRINTING AND ADDITIVE MANUFACTURING","2329-7662","2329-7670","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801","English","Engineering Management/General"
"AATCC JOURNAL OF RESEARCH","2330-5517","2330-5517","AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC","1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709","English","Materials Science & Engineering"
"AATCC REVIEW","1532-8813","1532-8813","AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC","1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709","English","Materials Science & Engineering"
"ACI MATERIALS JOURNAL","0889-325X","1944-737X","AMER CONCRETE INST","38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331","English","Materials Science & Engineering"
"ACI STRUCTURAL JOURNAL","0889-3241","1944-7361","AMER CONCRETE INST","38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331","English","Civil Engineering"
"ACM COMPUTING SURVEYS","0360-0300","1557-7341","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS","1550-4832","1550-4840","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM SIGCOMM COMPUTER COMMUNICATION REVIEW","0146-4833","1943-5819","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Information Technology & Communication Systems"
"ACM TRANSACTIONS ON ALGORITHMS","1549-6325","1549-6333","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON APPLIED PERCEPTION","1544-3558","1544-3965","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION","1544-3566","1544-3973","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING","2375-4699","2375-4702","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Ai, Robotics, And Automatic Control"
"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS","1556-4665","1556-4703","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Information Technology & Communication Systems"
"ACM TRANSACTIONS ON COMPUTATIONAL LOGIC","1529-3785","1557-945X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION","1073-0516","1557-7325","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON COMPUTER SYSTEMS","0734-2071","1557-7333","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON COMPUTING EDUCATION","1946-6226","1946-6226","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON DATABASE SYSTEMS","0362-5915","1557-4644","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS","1084-4309","1557-7309","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS","1539-9087","1558-3465","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON GRAPHICS","0730-0301","1557-7368","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON INFORMATION SYSTEMS","1046-8188","1558-2868","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Information Technology & Communication Systems"
"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY","2157-6904","2157-6912","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Ai, Robotics, And Automatic Control"
"ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS","2160-6455","2160-6463","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Ai, Robotics, And Automatic Control"
"ACM TRANSACTIONS ON INTERNET TECHNOLOGY","1533-5399","1557-6051","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA","1556-4681","1556-472X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE","0098-3500","1557-7295","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION","1049-3301","1558-1195","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Engineering Mathematics"
"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS","1551-6857","1551-6865","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON PRIVACY AND SECURITY","2471-2566","2471-2574","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Information Technology & Communication Systems"
"ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS","0164-0925","1558-4593","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS","1936-7406","1936-7414","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON SENSOR NETWORKS","1550-4859","1550-4867","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Information Technology & Communication Systems"
"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","1049-331X","1557-7392","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON STORAGE","1553-3077","1553-3093","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACM TRANSACTIONS ON THE WEB","1559-1131","1559-114X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701","English","Computer Science & Engineering"
"ACOUSTICAL PHYSICS","1063-7710","1562-6865","PLEIADES PUBLISHING INC","PLEIADES HOUSE, 7 W 54 ST, NEW YORK, United States,  NY, 10019","English","Optics & Acoustics"
"ACS APPLIED ELECTRONIC MATERIALS","2637-6113","2637-6113","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science & Engineering"
"ACS APPLIED ENERGY MATERIALS","2574-0962","2574-0962","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science & Engineering"
"ACS APPLIED MATERIALS & INTERFACES","1944-8244","1944-8252","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Materials Science & Engineering"
"ACS APPLIED NANO MATERIALS","2574-0970","2574-0970","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science & Engineering"
"ACS APPLIED POLYMER MATERIALS","2637-6105","2637-6105","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science & Engineering"
"ACS ENERGY LETTERS","2380-8195","2380-8195","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Environmental Engineering & Energy"
"ACS MATERIALS LETTERS","2639-4979","2639-4979","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Materials Science & Engineering"
"ACS PHOTONICS","2330-4022","2330-4022","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Optics & Acoustics"
"ACS SUSTAINABLE CHEMISTRY & ENGINEERING","2168-0485","2168-0485","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemical Engineering"
"ACTA ACUSTICA","1610-1928","2681-4617","EDP SCIENCES S A","17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944","English","Optics & Acoustics"
"ACTA ASTRONAUTICA","0094-5765","1879-2030","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","Multi-Language","Aerospace Engineering"
"ACTA GEOTECHNICA","1861-1125","1861-1133","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Geological, Petroleum & Mining Engineering"
"ACTA INFORMATICA","0001-5903","1432-0525","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","Multi-Language","Information Technology & Communication Systems"
"ACTA MATERIALIA","1359-6454","1873-2453","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Materials Science & Engineering"
"ACTA MECHANICA","0001-5970","1619-6937","SPRINGER WIEN","SACHSENPLATZ 4-6, PO BOX 89, WIEN, AUSTRIA, A-1201","English","Mechanical Engineering"
"ACTA MECHANICA SINICA","0567-7718","1614-3116","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Mechanical Engineering"
"ACTA METALLURGICA SINICA","0412-1961","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","Chinese","Metallurgy"
"ACTA METALLURGICA SINICA-ENGLISH LETTERS","1006-7191","2194-1289","CHINESE ACAD SCIENCES, INST METAL RESEARCH","72 WENHUA RD, SHENYANG, PEOPLES R CHINA, 110016","English","Metallurgy"
"ACTUATORS","2076-0825","2076-0825","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Instrumentation & Measurement"
"ADAPTIVE BEHAVIOR","1059-7123","1741-2633","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Ai, Robotics, And Automatic Control"
"ADDITIVE MANUFACTURING","2214-8604","2214-7810","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Engineering Management/General"
"AD HOC NETWORKS","1570-8705","1570-8713","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Information Technology & Communication Systems"
"AD HOC & SENSOR WIRELESS NETWORKS","1551-9899","1552-0633","OLD CITY PUBLISHING INC","628 NORTH 2ND ST, PHILADELPHIA, USA, PA, 19123","English","Information Technology & Communication Systems"
"ADVANCED BIOSYSTEMS","2366-7478","2366-7478","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","","Materials Science & Engineering"
"ADVANCED COMPOSITE MATERIALS","0924-3046","1568-5519","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Materials Science & Engineering"
"ADVANCED COMPOSITES AND HYBRID MATERIALS","2522-0128","2522-0136","SPRINGERNATURE","CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW","",""
"ADVANCED ENERGY MATERIALS","1614-6832","1614-6840","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English","Materials Science & Engineering"
"ADVANCED ENGINEERING INFORMATICS","1474-0346","1873-5320","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Ai, Robotics, And Automatic Control"
"ADVANCED ENGINEERING MATERIALS","1438-1656","1527-2648","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English","Materials Science & Engineering"
"ADVANCED FUNCTIONAL MATERIALS","1616-301X","1616-3028","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English","Materials Science & Engineering"
"ADVANCED MATERIALS","0935-9648","1521-4095","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English","Materials Science & Engineering"
"ADVANCED MATERIALS & PROCESSES","0882-7958","2161-9425","ASM INT","SUBSCRIPTIONS SPECIALIST CUSTOMER SERVICE, MATERIALS PARK, USA, OH, 44073-0002","English","Materials Science & Engineering"
"ADVANCED MATERIALS TECHNOLOGIES","2365-709X","2365-709X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030","English","Materials Science & Engineering"
"ADVANCED OPTICAL MATERIALS","2195-1071","2195-1071","WILEY-V C H VERLAG GMBH","POSTFACH 101161, WEINHEIM, GERMANY, 69451","English","Materials Science & Engineering"
"ADVANCED POWDER TECHNOLOGY","0921-8831","1568-5527","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Chemical Engineering"
