"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"3 BIOTECH","2190-572X","2190-5738","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Molecular Biology & Genetics"
"ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","1520-4898","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry & Analysis"
"ACS CHEMICAL BIOLOGY","1554-8929","1554-8937","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Biochemistry & Biophysics"
"ACS COMBINATORIAL SCIENCE","2156-8952","2156-8944","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry & Analysis"
"ACS MEDICINAL CHEMISTRY LETTERS","1948-5875","1948-5875","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Pharmacology & Toxicology"
"ACTA ANAESTHESIOLOGICA SCANDINAVICA","0001-5172","1399-6576","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Medical Research, Diagnosis & Treatment"
"ACTA BIOCHIMICA POLONICA","0001-527X","1734-154X","ACTA BIOCHIMICA POLONICA","PASTEURA 3, WARSAW, POLAND, 02-093","English","Biochemistry & Biophysics"
"ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY","2059-7983","2059-7983","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Chemistry & Analysis"
"ACTA DERMATO-VENEREOLOGICA","0001-5555","1651-2057","ACTA DERMATO-VENEREOLOGICA","TRADGARDSGATAN 14, UPPSALA, SWEDEN, SE-753 09","English","Medical Research, Organs & Systems"
"ACTA DIABETOLOGICA","0940-5429","1432-5233","SPRINGER-VERLAG ITALIA SRL","VIA DECEMBRIO, 28, MILAN, ITALY, 20137","English","Endocrinology, Nutrition & Metabolism"
"ACTA HAEMATOLOGICA","0001-5792","1421-9662","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009","English","Cardiovascular & Hematology Research"
"ACTA HISTOCHEMICA","0065-1281","1618-0372","ELSEVIER GMBH","HACKERBRUCKE 6, MUNICH, GERMANY, 80335","Multi-Language","Medical Research, Diagnosis & Treatment"
"ACTA HISTOCHEMICA ET CYTOCHEMICA","0044-5991","1347-5800","JAPAN SOC HISTOCHEMISTRY & CYTOCHEMISTRY","C/O NAKANISHI PRINTING CO LTD, SHIMODACHIURI-OGAWA, KAMIGYO-KU, KYOTO, JAPAN, 602-8048","English","Medical Research, Diagnosis & Treatment"
