"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"2D MATERIALS","2053-1583","2053-1583","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE","English","Applied Physics/Condensed Matter/Materials Science"
"AAPG BULLETIN","0149-1423","1558-9153","AMER ASSOC PETROLEUM GEOLOGIST","1444 S BOULDER AVE, PO BOX 979, TULSA, USA, OK, 74119-3604","English","Earth Sciences"
"ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","1520-4898","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACCREDITATION AND QUALITY ASSURANCE","0949-1775","1432-0517","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Spectroscopy/Instrumentation/Analytical Sciences"
"ACOUSTICAL PHYSICS","1063-7710","1562-6865","PLEIADES PUBLISHING INC","PLEIADES HOUSE, 7 W 54 ST, NEW YORK, United States,  NY, 10019","English","Applied Physics/Condensed Matter/Materials Science"
"ACS APPLIED ENERGY MATERIALS","2574-0962","2574-0962","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Applied Physics/Condensed Matter/Materials Science"
"ACS APPLIED MATERIALS & INTERFACES","1944-8244","1944-8252","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Applied Physics/Condensed Matter/Materials Science"
"ACS APPLIED NANO MATERIALS","2574-0970","2574-0970","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Applied Physics/Condensed Matter/Materials Science"
"ACS APPLIED POLYMER MATERIALS","2637-6105","2637-6105","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Applied Physics/Condensed Matter/Materials Science"
"ACS CATALYSIS","2155-5435","2155-5435","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Physical Chemistry/Chemical Physics"
"ACS CENTRAL SCIENCE","2374-7943","2374-7951","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS COMBINATORIAL SCIENCE","2156-8952","2156-8944","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS EARTH AND SPACE CHEMISTRY","2472-3452","2472-3452","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS ENERGY LETTERS","2380-8195","2380-8195","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Applied Physics/Condensed Matter/Materials Science"
"ACS MACRO LETTERS","2161-1653","2161-1653","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Organic Chemistry/Polymer Science"
"ACS MATERIALS LETTERS","2639-4979","2639-4979","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Applied Physics/Condensed Matter/Materials Science"
"ACS NANO","1936-0851","1936-086X","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Applied Physics/Condensed Matter/Materials Science"
"ACS OMEGA","2470-1343","2470-1343","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS PHOTONICS","2330-4022","2330-4022","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Applied Physics/Condensed Matter/Materials Science"
"ACS SENSORS","2379-3694","2379-3694","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACS SUSTAINABLE CHEMISTRY & ENGINEERING","2168-0485","2168-0485","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","English","Chemistry"
"ACTA APPLICANDAE MATHEMATICAE","0167-8019","1572-9036","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Mathematics"
"ACTA ARITHMETICA","0065-1036","1730-6264","POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN","8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656","Multi-Language","Mathematics"
"ACTA ASTRONOMICA","0001-5237","0001-5237","COPERNICUS FOUNDATION POLISH  ASTRONOMY","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478","English","Space Sciences"
"ACTA CHIMICA SINICA","0567-7351","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717","Chinese","Chemistry"
"ACTA CHIMICA SLOVENICA","1318-0207","1580-3155","SLOVENSKO KEMIJSKO DRUSTVO","HAJDRIHOVA 19, LJUBLJANA, SLOVENIA, 1000","English","Chemistry"
"ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES","2053-2733","2053-2733","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Physical Chemistry/Chemical Physics"
"ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS","2052-5206","2052-5206","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Physical Chemistry/Chemical Physics"
"ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY","2053-2296","2053-2296","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU","English","Physical Chemistry/Chemical Physics"
"ACTA GEOLOGICA POLONICA","0001-5709","2300-1887","POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT","PL DEFILAD 1, WARSZAWA, POLAND, 00-901","Polish","Earth Sciences"
"ACTA GEOLOGICA SINICA-ENGLISH EDITION","1000-9515","1755-6724","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Earth Sciences"
"ACTA GEOPHYSICA","1895-6572","1895-7455","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Earth Sciences"
"ACTA MATERIALIA","1359-6454","1873-2453","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Applied Physics/Condensed Matter/Materials Science"
