"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"2D MATERIALS","2053-1583","2053-1583","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE","English","Materials Science"
"3 BIOTECH","2190-572X","2190-5738","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Biology & Biochemistry"
"3D PRINTING AND ADDITIVE MANUFACTURING","2329-7662","2329-7670","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801","English","Engineering"
"4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH","1619-4500","1614-2411","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Engineering"
"AAPG BULLETIN","0149-1423","1558-9153","AMER ASSOC PETROLEUM GEOLOGIST","1444 S BOULDER AVE, PO BOX 979, TULSA, USA, OK, 74119-3604","English","Geosciences"
"AAPS JOURNAL","1550-7416","1550-7416","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Pharmacology & Toxicology"
"AAPS PHARMSCITECH","1530-9932","1530-9932","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Pharmacology & Toxicology"
"AATCC JOURNAL OF RESEARCH","2330-5517","2330-5517","AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC","1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709","English","Materials Science"
"AATCC REVIEW","1532-8813","1532-8813","AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC","1 DAVID DR, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709","English","Materials Science"
"ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES","0001-3072","1467-6281","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics & Business"
"ABDOMINAL RADIOLOGY","2366-004X","2366-0058","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Clinical Medicine"
"ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG","0025-5858","1865-8784","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","German","Mathematics"
"ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","0065-7727","","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036","","Chemistry"
"ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION","1012-8255","2056-5127","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","Spanish","Economics & Business"
"ACADEMIC EMERGENCY MEDICINE","1069-6563","1553-2712","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Clinical Medicine"
"ACADEMIC MEDICINE","1040-2446","1938-808X","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Clinical Medicine"
"ACADEMIC PEDIATRICS","1876-2859","1876-2867","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Clinical Medicine"
"ACADEMIC PSYCHIATRY","1042-9670","1545-7230","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Psychiatry/Psychology"
"ACADEMIC RADIOLOGY","1076-6332","1878-4046","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Clinical Medicine"
"ACADEMY OF MANAGEMENT ANNALS","1941-6520","1941-6067","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","English","Economics & Business"
