"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"AASP CONTRIBUTIONS SERIES","0160-8843","","AMER ASSOC STRATIGRAPHIC PALYNOLOGISTS FOUNDATION","C/O VAUGHN M BRYANT, JR, PALNOLOGY LABORATORY, TEXAS A & M UNIV, COLLEGE STATION, UNITED STATES, TX, 77843-4352","","Geology"
"ABC TAXA","1784-1291","1784-1283","ROYAL BELGIAN INST NATURAL SCI","BELGIAN FOCAL POINT GLOBAL TAXONOMY INITIATIVE, VAUTIERSTRAAT 29, BRUSSELS, BELGIUM, B-1000","","Biology"
"ABHANDLUNGEN AUS DEM WESTFAELISCHEN MUSEUM FUER NATURKUNDE","0175-3495","","WESTFAELISCHES MUSEUM NATURKUNDE","SENTRUPER STRASSE 285, MUENSTER, GERMANY, 48161","","Multidisciplinary Sciences"
"ABHANDLUNGEN DER DELATTINIA","0948-6526","","EIGENVERLAG DELATTINIA","C/O ZENTRUM FUER BIODOKUMENTATION DES SAARLANDES (ZFB), AM BERGWERK 10, LANDSWEILER-REDEN, GERMANY, D-66578","","Plant Sciences | Biodiversity Conservation | Zoology"
"ABHANDLUNGEN DER GEOLOGISCHEN BUNDESANSTALT-VIENNA","0378-0864","","GEOLOGISCHE BUNDESANSTALT","RASUMOFSKYGASSE 23, VIENNA, AUSTRIA, A-1031","","Geology"
"ABHANDLUNGEN DER SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG","1868-0356","1868-0356","E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG","NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176","","Multidisciplinary Sciences"
"ABHANDLUNGEN DER ZOOLOGISCH-BOTANISCHEN GESELLSCHAFT IN OESTERREICH","0084-5639","","ZOOLOGISCH-BOTANISCHE GESELLSCHAFT IN OESTERREICH","ALTHANSTRASSE 14, VIENNA, AUSTRIA,","","Plant Sciences | Zoology"
"ABHANDLUNGEN NATURWISSENSCHAFTLICHEN VEREIN ZU BREMEN","0340-3718","","NATURWISSENSCHAFTLICHER VEREIN ZU BREMEN","UEBERSEE-MUSEUM, BAHNHOFSPLATZ 13, BREMEN, GERMANY,","","Multidisciplinary Sciences"
"ABHANDLUNGEN UND BERICHTE AUS DEM MUSEUM HEINEANUM","0947-1057","","MUSEUM HEINEANUM","DOMPLATZ 37, HALBERSTADT, GERMANY, D-38820","","Plant Sciences | Zoology"
"ABHANDLUNGEN UND BERICHTE DES NATURKUNDEMUSEUMS GOERLITZ","0373-7586","","STAATLICHES MUSEUM NATURKUNDE GOERLITZ","PF 30 01 54, GOERLITZ, GERMANY, D-02806","","Multidisciplinary Sciences"
"ABHANDLUNGEN UND BERICHTE FUER NATURKUNDE","0945-7658","","MUSEUM NATURKUNDE","OTTO-VON-GUERICKE-STRASSE 68-73, MAGDEBURG, GERMANY, D-39104","","Paleontology"
"ACADEMIE ROYALE DES SCIENCES D OUTRE-MER BULLETIN DES SEANCES","0001-4176","","ACAD ROYAL SCI","RUE DEFACQZ 1 BOITE 3, BRUSSELS, BELGIUM, B-1000","","Multidisciplinary Sciences"
"ACARI BIBLIOGRAPHIA ACAROLOGICA","1618-8977","","STAATLICHES MUSEUM NATURKUNDE GOERLITZ","PF 30 01 54, GOERLITZ, GERMANY, D-02806","","Entomology"
